HHID,province,district_real,altitude_m,farm_size_ha,soil_ph,nitrogen,phosphorus,potassium,soc,annual_rainfall_mm,avg_temperature_C,avg_humidity_pct,used_improved_seed,used_inorganic_fert,used_organic_fert,used_pesticide,used_irrigation,soil_measures_count,num_crops_grown,grew_maize,grew_beans,grew_cassava,grew_rice,grew_irish_potato,grew_tomato,grew_sweet_potato,grew_banana,yield_maize_t_ha,yield_beans_t_ha,yield_cassava_t_ha,yield_rice_t_ha,yield_irish_potato_t_ha,yield_tomato_t_ha,yield_sweet_potato_t_ha,yield_banana_t_ha,recommended_crop,recommended_confidence,weight
HHD109832,Southern,Huye,1543,2.6,5.81,0.508,0.18,0.327,0.2,1301.6,24.26,80.3,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,,,23.61,,24.26,,,,irish_potato,0.507,2.064
HHD109833,Eastern,Nyagatare,1207,0.03,6.5,0.416,0.06,0.173,3.53,878.8,24.68,86.5,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,,,,,,,5.61,,sweet_potato,1.0,2.18
HHD109834,Western,Rutsiro,1448,0.57,6.45,0.029,0.287,0.249,4.9,811.7,20.34,73.9,0,1,0,0,0,0,3,0,0,1,0,0,0,1,1,,,19.23,,,,12.23,19.94,banana,0.388,2.027
HHD109835,Western,Ngororero,1434,2.56,5.5,0.207,0.121,0.529,2.01,847.2,22.44,70.1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,,,,,16.82,23.64,,,tomato,0.584,1.029
HHD109836,Southern,Nyaruguru,1573,0.1,6.49,0.48,0.038,0.02,1.94,915.8,21.58,87.0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2.42,,9.38,,,,,,cassava,0.795,1.282
HHD109837,Kigali,Gasabo,1506,0.87,6.71,0.598,0.045,0.566,2.84,1147.0,21.32,76.9,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,,,,,11.82,,15.45,18.88,banana,0.409,1.49
HHD109838,Southern,Huye,1547,1.24,5.88,0.415,0.181,0.233,1.61,841.4,20.54,97.6,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,3.4,,,,22.16,,,,irish_potato,0.867,4.575
HHD109839,Kigali,Nyarugenge,1479,0.23,6.24,0.359,0.156,0.241,2.01,993.1,19.03,78.1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,,,14.01,,,,,14.48,banana,0.508,1.328
HHD109840,Eastern,Rwamagana,1273,0.82,5.22,0.064,0.093,0.171,3.88,969.0,19.91,84.1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,,,,,,15.56,,,tomato,1.0,0.648
HHD109841,Southern,Huye,1669,0.91,6.52,0.386,0.227,0.572,3.82,586.7,26.7,73.4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,,,,,11.53,,,,irish_potato,1.0,1.565
HHD109842,Southern,Nyaruguru,1561,0.53,5.81,0.367,0.071,0.285,2.03,1140.7,21.79,67.9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,,,14.73,,,,,,cassava,1.0,0.55
HHD109843,Kigali,Gasabo,1496,2.23,6.04,0.903,0.008,0.193,2.68,1018.0,22.63,80.7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,35.57,,,tomato,1.0,1.771
HHD109844,Southern,Gisagara,1471,0.37,6.0,0.43,0.198,0.02,4.3,866.1,22.11,92.3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,,,,13.31,,,,irish_potato,1.0,0.81
HHD109845,Southern,Huye,1690,0.31,6.46,0.076,0.27,0.33,1.92,807.6,20.42,60.1,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,,,10.75,,11.62,,,,irish_potato,0.519,2.527
HHD109846,Southern,Huye,1597,0.26,6.19,0.259,0.079,0.606,0.2,1037.0,22.41,72.9,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,,1.33,,,8.78,,,,irish_potato,0.868,3.11
HHD109847,Western,Nyamasheke,1263,1.26,6.24,0.711,0.073,0.533,0.7,952.0,26.24,44.5,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,,,,6.44,,28.31,,,tomato,0.815,0.668
HHD109848,Northern,Musanze,1711,1.7,5.92,0.027,0.118,0.515,3.13,723.1,19.68,71.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.22,,,,,,,,maize,1.0,0.691
HHD109849,Kigali,Nyarugenge,1350,1.88,7.04,0.413,0.125,0.538,2.23,1038.6,19.86,79.7,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,,,,5.22,,,,26.52,banana,0.836,0.623
HHD109850,Eastern,Bugesera,1242,0.44,5.42,0.299,0.082,0.389,2.04,1037.7,24.09,68.1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,,1.13,,,,,,21.1,banana,0.949,2.757
HHD109851,Southern,Nyamagabe,1500,1.34,5.26,0.085,0.148,0.203,3.43,1020.6,20.61,87.7,1,0,1,1,0,0,3,0,1,0,1,0,0,1,0,,2.54,,6.52,,,16.31,,sweet_potato,0.643,4.384
HHD109852,Northern,Burera,1634,0.66,5.74,0.381,0.145,0.236,2.61,1018.4,27.96,90.3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,,1.71,,,,,,,beans,1.0,1.455
HHD109853,Western,Nyamasheke,1286,1.09,6.1,0.127,0.173,0.02,1.9,769.9,20.87,90.7,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,,,11.97,6.48,,,,,cassava,0.649,1.536
HHD109854,Southern,Huye,1616,1.22,6.38,0.28,0.192,0.172,4.42,1013.5,20.43,67.8,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,,,,,16.95,19.85,,,tomato,0.539,1.707
HHD109855,Kigali,Gasabo,1465,2.74,5.29,0.341,0.088,0.288,1.72,826.7,23.83,71.4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,5.54,,,,,,,,maize,1.0,0.217
HHD109856,Kigali,Kicukiro,1391,0.86,5.99,0.441,0.177,0.386,3.33,922.0,23.74,76.9,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,,,,,,12.36,,sweet_potato,1.0,0.323
HHD109857,Southern,Gisagara,1547,1.29,6.44,0.322,0.135,0.227,4.19,1018.7,20.66,74.3,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,,,21.7,,16.73,,,,cassava,0.565,4.593
HHD109858,Kigali,Nyarugenge,1424,2.38,5.88,0.027,0.096,0.02,3.65,1039.4,23.3,70.1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,19.77,,,,,,cassava,1.0,2.273
HHD109859,Kigali,Nyarugenge,1353,1.57,6.6,0.173,0.005,0.402,2.35,866.3,22.67,85.0,0,1,1,0,0,2,3,1,0,1,0,0,0,1,0,5.3,,25.57,,,,12.92,,cassava,0.584,1.221
HHD109860,Kigali,Nyarugenge,1515,0.53,6.79,0.304,0.016,0.431,4.34,1195.2,25.43,72.9,0,1,1,0,0,0,3,0,0,1,0,1,0,1,0,,,18.17,,12.73,,14.09,,cassava,0.404,1.351
HHD109861,Southern,Nyamagabe,1588,1.97,6.65,0.301,0.122,0.107,1.24,916.5,23.04,84.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,6.38,,,,,rice,1.0,3.166
HHD109862,Northern,Musanze,1674,0.94,6.39,0.307,0.12,0.553,1.22,988.8,23.21,80.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,,,,,20.03,,,25.42,banana,0.559,0.46
HHD109863,Southern,Muhanga,1572,0.7,5.74,0.348,0.156,0.285,2.81,929.9,21.6,69.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,17.53,banana,1.0,1.427
HHD109864,Northern,Gakenke,1858,2.75,5.89,0.46,0.079,0.309,4.35,1225.5,17.01,62.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,28.44,banana,1.0,0.863
HHD109865,Kigali,Nyarugenge,1520,1.72,6.52,0.51,0.133,0.253,1.91,898.6,23.59,77.6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,25.11,,,tomato,1.0,1.209
HHD109866,Eastern,Nyagatare,1233,0.27,5.64,0.291,0.221,0.457,3.63,1076.2,19.1,80.6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,,,,,12.9,banana,1.0,3.848
HHD109867,Kigali,Kicukiro,1495,0.56,5.39,0.549,0.111,0.14,5.12,1043.9,18.98,66.1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,23.08,banana,1.0,2.396
HHD109868,Kigali,Nyarugenge,1362,0.81,6.74,0.291,0.195,0.339,0.99,791.5,22.53,78.9,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,1.55,,,,,,,beans,1.0,2.419
HHD109869,Southern,Gisagara,1603,0.61,6.17,0.448,0.101,0.495,2.0,882.0,14.73,68.7,1,0,1,0,0,2,2,0,1,0,0,0,0,1,0,,1.51,,,,,12.35,,sweet_potato,0.891,0.411
HHD109870,Southern,Ruhango,1607,0.1,5.74,0.284,0.188,0.088,1.96,1048.8,21.54,88.1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,,,,,,9.27,,sweet_potato,1.0,2.064
HHD109871,Northern,Rulindo,1815,2.03,5.78,0.317,0.182,0.375,0.37,854.9,17.67,62.4,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,,,,,,,11.7,,sweet_potato,1.0,2.26
HHD109872,Kigali,Kicukiro,1476,0.95,5.75,0.146,0.051,0.058,1.02,1119.3,22.64,48.8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,,,3.56,,,,,rice,1.0,1.758
HHD109873,Kigali,Nyarugenge,1365,0.17,6.4,0.396,0.046,0.834,3.28,943.3,20.12,67.7,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,,,,4.76,,,,,rice,1.0,1.101
HHD109874,Eastern,Gatsibo,1044,1.9,6.47,0.319,0.18,0.318,5.82,1103.1,19.3,66.8,0,0,0,0,0,1,3,0,0,0,1,1,0,0,1,,,,6.08,19.11,,,28.33,banana,0.529,1.512
HHD109875,Southern,Nyamagabe,1438,1.0,4.55,0.075,0.022,0.283,1.66,1151.8,25.04,78.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.0,,,,,,,,maize,1.0,0.309
HHD109876,Northern,Gicumbi,1883,0.85,5.18,0.457,0.075,0.642,2.02,892.5,22.95,66.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,8.71,,sweet_potato,1.0,0.897
HHD109877,Eastern,Nyagatare,1220,0.78,5.55,0.491,0.128,0.47,2.99,1021.3,22.77,67.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.41,,,,,,,beans,1.0,1.948
HHD109878,Northern,Gicumbi,1834,1.86,7.7,0.591,0.173,0.542,3.24,755.7,20.77,78.4,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,,,13.99,,16.38,,14.23,,irish_potato,0.367,0.903
HHD109879,Eastern,Gatsibo,1035,0.55,4.97,0.503,0.168,0.532,2.66,803.4,23.7,48.1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,,,,,,,,33.98,banana,1.0,0.722
HHD109880,Southern,Muhanga,1688,0.88,6.22,0.395,0.224,0.193,2.07,824.7,22.61,61.8,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,,,,,,13.9,,,tomato,1.0,1.946
HHD109881,Southern,Muhanga,1563,3.11,4.79,0.168,0.098,0.482,2.92,826.4,22.43,85.7,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,,,,,20.78,,,,irish_potato,1.0,1.943
HHD109882,Southern,Gisagara,1538,1.55,5.84,0.269,0.158,0.061,3.87,745.5,22.41,63.0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,,,17.77,9.88,,,,,cassava,0.643,4.421
HHD109883,Southern,Nyamagabe,1579,0.48,7.06,0.497,0.115,0.212,3.09,953.1,15.7,79.5,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,,,14.46,,,,,,cassava,1.0,1.025
HHD109884,Southern,Nyaruguru,1710,0.86,5.8,0.203,0.111,0.426,2.12,783.3,19.49,85.9,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,1.94,,,,,,,beans,1.0,2.306
HHD109885,Northern,Musanze,1801,3.43,5.75,0.567,0.103,0.322,4.85,786.9,18.51,79.6,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,,,24.8,,,,,,cassava,1.0,2.275
HHD109886,Western,Ngororero,1510,1.03,6.24,0.114,0.079,0.448,2.48,766.0,19.52,76.3,1,1,0,0,0,1,2,0,1,0,0,0,0,1,0,,2.16,,,,,13.89,,sweet_potato,0.865,0.717
HHD109887,Eastern,Bugesera,1248,0.92,5.21,0.4,0.145,0.02,2.46,829.1,19.33,78.7,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4.23,,,,,,,,maize,1.0,2.517
HHD109888,Southern,Muhanga,1546,1.09,5.94,0.506,0.151,0.368,1.93,762.2,21.96,77.6,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,3.99,2.58,,,,,,,maize,0.607,1.455
HHD109889,Western,Karongi,1493,0.66,4.88,0.67,0.139,0.02,3.28,1026.5,23.74,64.7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.38,,,,,,,beans,1.0,2.489
HHD109890,Kigali,Nyarugenge,1389,0.1,5.82,0.423,0.168,0.663,2.43,795.2,26.12,70.8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,12.99,,,,irish_potato,1.0,1.94
HHD109891,Eastern,Nyagatare,1296,1.95,5.7,0.311,0.123,0.493,3.25,1212.7,18.09,67.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,33.49,banana,1.0,3.408
HHD109892,Eastern,Bugesera,1222,0.53,5.03,0.446,0.127,0.02,3.51,823.0,23.54,73.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0.97,,,,,,,beans,1.0,2.012
HHD109893,Southern,Muhanga,1624,0.57,5.48,0.241,0.145,0.419,1.9,893.0,28.08,71.5,1,1,0,0,0,1,2,0,0,1,0,0,0,0,1,,,14.16,,,,,29.02,banana,0.672,1.751
HHD109894,Kigali,Kicukiro,1326,1.69,6.89,0.181,0.229,0.224,0.9,948.0,24.28,71.8,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3.99,,,,,,,,maize,1.0,0.468
HHD109895,Southern,Gisagara,1587,0.08,5.42,0.326,0.252,0.02,3.98,1061.9,20.68,64.6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,,,,13.78,,,,irish_potato,1.0,2.641
HHD109896,Southern,Gisagara,1591,1.7,5.87,0.258,0.019,0.476,2.23,1134.8,18.37,83.2,0,1,0,0,0,0,3,0,0,0,1,0,0,1,1,,,,11.2,,,16.14,47.52,banana,0.635,0.976
HHD109897,Southern,Muhanga,1598,1.05,5.64,0.153,0.112,0.407,3.48,784.5,28.44,72.4,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,,,,,,,12.38,,sweet_potato,1.0,2.196
HHD109898,Southern,Huye,1624,1.2,6.59,0.27,0.035,0.385,2.77,753.5,25.6,59.8,1,1,0,0,0,1,2,0,0,0,1,0,0,1,0,,,,9.03,,,15.28,,sweet_potato,0.629,1.812
HHD109899,Kigali,Nyarugenge,1465,0.43,6.03,0.073,0.137,0.425,4.19,1044.8,24.96,75.6,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,,,,,,23.6,,,tomato,1.0,1.047
HHD109900,Eastern,Bugesera,1251,0.96,5.72,0.358,0.162,0.292,0.2,987.8,23.67,73.2,1,1,0,1,0,0,2,0,0,0,1,0,0,1,0,,,,7.04,,,13.28,,sweet_potato,0.654,1.639
HHD109901,Southern,Nyaruguru,1669,0.29,6.29,0.469,0.16,0.302,1.76,798.3,18.16,66.9,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,,,,,9.22,,,,irish_potato,1.0,2.089
HHD109902,Southern,Gisagara,1454,3.36,5.75,0.332,0.014,0.373,3.85,966.0,23.06,77.8,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,,,19.65,,,,,,cassava,1.0,2.968
HHD109903,Eastern,Nyagatare,1259,2.37,5.89,0.206,0.167,0.743,3.11,849.9,20.96,82.2,1,0,0,0,1,0,3,1,0,1,0,1,0,0,0,5.39,,19.37,,25.62,,,,irish_potato,0.509,1.339
HHD109904,Southern,Muhanga,1693,1.32,5.89,0.394,0.22,0.249,2.77,953.9,26.01,82.5,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,3.62,,,7.25,,,,,rice,0.667,1.648
HHD109905,Kigali,Nyarugenge,1444,1.48,5.95,0.341,0.129,0.336,2.4,872.6,21.61,76.9,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,,,,15.28,,,,irish_potato,1.0,0.978
HHD109906,Kigali,Nyarugenge,1403,0.44,6.75,0.33,0.127,0.404,2.39,949.7,21.73,73.7,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,,,,,16.92,,,tomato,1.0,3.861
HHD109907,Western,Ngororero,1553,0.26,5.73,0.213,0.135,0.496,1.06,884.6,20.18,81.1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,,,,4.2,,,,22.41,banana,0.842,3.326
HHD109908,Southern,Nyaruguru,1668,0.65,6.36,0.557,0.006,0.266,4.2,848.4,23.76,80.1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,3.95,,,5.62,,,,,rice,0.587,0.399
HHD109909,Southern,Nyaruguru,1550,2.39,5.84,0.593,0.191,0.02,0.2,899.6,20.07,73.7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,2.37,,,,,,,beans,1.0,2.171
HHD109910,Eastern,Bugesera,1264,0.57,5.8,0.226,0.078,0.546,1.35,829.9,26.74,80.9,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,,,,,,,8.94,,sweet_potato,1.0,0.441
HHD109911,Southern,Gisagara,1601,0.53,4.83,0.049,0.011,0.495,2.51,607.1,22.53,77.7,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,,1.16,,,,,,,beans,1.0,2.702
HHD109912,Northern,Gicumbi,1767,1.29,6.2,0.637,0.211,0.34,2.58,712.7,27.8,83.9,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,25.6,,,tomato,1.0,2.494
HHD109913,Southern,Huye,1713,1.06,6.1,0.266,0.016,0.02,1.73,772.5,18.09,65.3,1,0,1,1,0,0,2,0,0,0,1,0,1,0,1,,,,7.19,,22.5,,29.53,banana,0.499,1.379
HHD109914,Northern,Burera,1709,0.47,7.78,0.426,0.267,0.482,2.43,1102.7,23.2,82.0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,3.73,,,,,,,,maize,1.0,1.486
HHD109915,Southern,Muhanga,1712,0.07,6.27,0.517,0.15,0.507,2.53,1108.3,17.54,81.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,15.94,banana,1.0,1.119
HHD109916,Northern,Musanze,1686,0.22,5.71,0.25,0.223,0.96,0.71,978.1,29.57,63.6,0,0,0,0,0,2,2,0,1,0,0,1,0,0,1,,1.15,,,15.87,,,18.59,banana,0.522,1.892
HHD109917,Kigali,Kicukiro,1428,0.86,7.08,0.064,0.016,0.7,2.87,964.4,22.55,67.1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,,,,15.18,,,,irish_potato,1.0,2.371
HHD109918,Kigali,Nyarugenge,1355,0.59,5.66,0.301,0.147,0.48,1.89,897.4,21.82,79.8,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,,,,,,,7.84,,sweet_potato,1.0,1.244
HHD109919,Western,Nyabihu,1299,1.08,6.12,0.233,0.141,0.031,2.83,949.0,21.29,59.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,14.24,,sweet_potato,1.0,1.534
HHD109920,Southern,Nyamagabe,1418,1.9,6.41,0.404,0.072,0.294,3.24,869.8,21.33,81.5,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,,,,,,,16.27,,sweet_potato,1.0,1.686
HHD109921,Eastern,Bugesera,1105,0.1,5.3,0.329,0.086,0.347,2.77,1098.9,14.36,79.3,1,0,1,0,0,1,2,0,1,0,0,0,0,0,1,,0.99,,,,,,14.09,banana,0.934,1.809
HHD109922,Kigali,Nyarugenge,1445,0.08,6.45,0.568,0.093,0.137,1.85,909.3,19.12,82.9,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,,,,,11.7,,,,irish_potato,1.0,4.481
HHD109923,Northern,Musanze,1689,2.73,5.47,0.47,0.163,0.502,4.2,859.9,18.7,91.0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,,,,,16.87,25.96,,,tomato,0.606,1.231
HHD109924,Southern,Nyaruguru,1623,1.92,6.38,0.165,0.077,0.442,2.73,946.3,26.75,77.9,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,,,,,14.48,,,25.29,banana,0.636,1.591
HHD109925,Northern,Burera,1703,2.36,5.83,0.295,0.097,0.512,2.95,923.9,24.6,75.0,1,1,0,0,1,2,2,1,0,0,0,0,0,0,1,7.18,,,,,,,37.14,banana,0.838,0.308
HHD109926,Southern,Muhanga,1668,0.07,6.0,0.398,0.106,0.209,0.46,734.4,24.42,71.6,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,,10.02,,,,,,cassava,1.0,3.432
HHD109927,Kigali,Kicukiro,1420,0.81,6.48,0.369,0.187,0.978,1.7,1111.4,21.75,71.1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,,1.66,,,,,8.78,,sweet_potato,0.841,3.578
HHD109928,Southern,Huye,1683,2.67,5.21,0.444,0.14,0.487,2.54,1163.8,21.63,81.4,0,1,0,0,0,2,3,1,1,0,0,0,0,1,0,4.84,2.81,,,,,24.05,,sweet_potato,0.759,1.174
HHD109929,Northern,Burera,1797,0.48,6.78,0.114,0.103,0.418,2.74,1037.5,24.44,81.1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,,,,,,13.21,,15.01,banana,0.532,1.153
HHD109930,Kigali,Nyarugenge,1398,0.14,6.93,0.617,0.084,0.148,3.73,1138.7,21.87,61.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,10.88,,,,irish_potato,1.0,1.829
HHD109931,Eastern,Nyagatare,1242,0.06,6.44,0.33,0.182,0.545,3.06,805.6,24.96,82.4,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,3.39,,,3.56,,,,14.59,banana,0.677,0.225
HHD109932,Northern,Musanze,1797,0.96,5.36,0.366,0.093,0.261,3.42,906.9,22.61,53.8,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,,,22.0,6.92,,,,,cassava,0.761,0.695
HHD109933,Kigali,Nyarugenge,1525,3.08,6.24,0.387,0.075,0.25,2.48,541.4,25.66,75.5,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,,,,,24.36,19.58,,,irish_potato,0.554,1.586
HHD109934,Southern,Muhanga,1566,0.35,5.2,0.312,0.16,0.53,1.31,951.6,27.49,78.4,0,1,0,1,0,0,2,0,0,0,1,1,0,0,0,,,,6.75,16.79,,,,irish_potato,0.713,0.438
HHD109935,Southern,Muhanga,1700,2.98,4.95,0.338,0.073,0.084,2.02,898.9,20.04,75.3,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,4.45,,,,,,,,maize,1.0,0.919
HHD109936,Northern,Gicumbi,1793,0.23,6.09,0.078,0.2,0.554,3.61,1130.0,22.22,63.5,0,0,0,1,1,1,3,0,0,1,0,1,0,1,0,,,13.53,,8.08,,6.72,,cassava,0.478,1.1
HHD109937,Southern,Muhanga,1665,0.03,5.7,0.273,0.02,0.348,3.9,970.8,22.44,75.7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,23.11,banana,1.0,1.576
HHD109938,Western,Ngororero,1498,0.21,5.42,0.34,0.038,0.086,2.4,696.1,21.0,82.9,0,0,0,0,0,1,3,1,0,0,0,1,0,1,0,2.69,,,,8.65,,8.97,,sweet_potato,0.442,4.909
HHD109939,Kigali,Nyarugenge,1360,0.17,5.68,0.391,0.201,0.554,3.67,666.5,18.49,70.2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,,,,3.69,,,,14.98,banana,0.802,1.936
HHD109940,Kigali,Nyarugenge,1392,0.53,6.52,0.261,0.005,0.424,3.77,678.7,20.93,61.0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,,,,4.81,,,,,rice,1.0,3.222
HHD109941,Kigali,Nyarugenge,1353,0.71,5.38,0.432,0.209,0.475,3.81,1136.4,26.53,71.9,1,0,0,0,0,1,3,0,0,1,0,1,0,1,0,,,18.38,,18.19,,12.13,,cassava,0.377,0.542
HHD109942,Southern,Muhanga,1610,2.12,4.71,0.423,0.173,0.442,1.23,826.0,21.65,52.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,24.37,,,tomato,1.0,3.162
HHD109943,Northern,Gakenke,1818,1.04,6.52,0.455,0.211,0.248,2.98,649.3,25.06,74.8,0,1,0,0,0,0,3,1,0,0,1,1,0,0,0,5.41,,,8.36,24.85,,,,irish_potato,0.643,2.778
HHD109944,Western,Ngororero,1578,0.91,5.74,0.243,0.087,0.524,3.56,950.0,20.38,88.8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,,,5.03,,,,,rice,1.0,0.377
HHD109945,Western,Ngororero,1563,1.17,5.86,0.415,0.165,0.68,2.68,948.8,17.63,66.0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,,2.01,17.38,,,,,,cassava,0.896,3.079
HHD109946,Eastern,Bugesera,1104,1.65,5.55,0.224,0.027,0.542,2.12,1087.6,21.52,85.1,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,,1.93,,7.07,,20.15,,,tomato,0.691,1.782
HHD109947,Southern,Gisagara,1539,1.13,5.56,0.654,0.017,0.271,4.96,1014.6,18.62,63.7,0,0,0,0,0,2,3,0,0,0,1,1,0,1,0,,,,7.74,15.5,,13.36,,irish_potato,0.423,1.669
HHD109948,Southern,Kamonyi,1627,0.96,5.85,0.278,0.077,0.228,2.56,699.3,19.67,74.8,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,17.27,,,,irish_potato,1.0,4.711
HHD109949,Kigali,Nyarugenge,1403,1.93,4.95,0.529,0.202,0.02,1.03,765.5,21.17,67.2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,,,,,24.06,,,tomato,1.0,2.67
HHD109950,Eastern,Nyagatare,1369,2.26,5.61,0.395,0.178,0.715,1.17,922.2,19.97,80.5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,,,,,21.56,,,tomato,1.0,3.317
HHD109951,Eastern,Bugesera,1106,1.64,5.5,0.02,0.236,0.391,3.15,892.8,24.51,68.9,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,,2.35,,,28.75,,,,irish_potato,0.924,0.888
HHD109952,Southern,Gisagara,1498,1.52,6.45,0.6,0.049,0.097,2.74,819.1,24.59,65.2,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,,2.47,,,,,,,beans,1.0,1.117
HHD109953,Kigali,Nyarugenge,1451,0.14,6.51,0.293,0.04,0.315,2.63,838.6,17.48,53.2,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,,,,3.18,9.54,,,,irish_potato,0.75,1.328
